id,topic,question,option_a,option_b,option_c,option_d,correct_letter,correct_text,explanation
1,Exam Technique,The City & Guilds 2382 18th Edition exam is:,"Closed book, 40 questions, 1 hour","Open book, 60 questions, 2 hours","Open book, 50 questions, 90 minutes","Closed book, 60 questions, 3 hours",B,"Open book, 60 questions, 2 hours","It's open book — your copy of BS 7671 plus a calculator — 60 questions, 2 hours."
2,Exam Technique,"What is the typical minimum pass mark, and the score you should really be aiming for?","40%, aim 50%","50%, aim 60%","60%, aim 80%","75%, aim 90%",C,"60%, aim 80%",Pass marks can vary slightly by cohort — treat 60% as the floor and aim well above it.
3,Exam Technique,"Because the exam is open-book, your revision time is best spent:",Memorising every table value word for word,Learning the structure of the book and practising finding the right clause/table quickly,Ignoring the book entirely,Reading only Part 1,B,Learning the structure of the book and practising finding the right clause/table quickly,"The real skill tested is fast, accurate navigation and application — not rote recall."
4,Exam Technique,"If a question gives you numerical data, the safest approach is:",Guess based on similar past questions,Work the calculation through methodically using the correct formula and reference,Pick the middle option,Skip and never return to it,B,Work the calculation through methodically using the correct formula and reference,
5,Exam Technique,Which item is essential to bring to the exam alongside ID?,A laptop,The current edition of BS 7671 and a scientific calculator,A copy of the On-Site Guide only,Your own printed notes,B,The current edition of BS 7671 and a scientific calculator,Check your exam centre's exact permitted-materials list beforehand — some restrict which additional guides are allowed.
6,Definitions & Terms,"""Basic protection"" refers to protection against electric shock:",Under a single fault condition,"Under normal, fault-free conditions",Only in special locations,Only for SELV circuits,B,"Under normal, fault-free conditions","Fault protection is the single-fault-condition case (ADS, earthing, bonding)."
7,Definitions & Terms,"What does ""Zs"" represent?",The impedance of the earth electrode only,The total earth fault loop impedance (external + internal),The prospective short-circuit current,The resistance of the line conductor only,B,The total earth fault loop impedance (external + internal),Zs = Ze + (R1 + R2).
8,Definitions & Terms,PME stands for:,Protective Multiple Earthing,Portable Mains Equipment,Primary Motor Enclosure,Permanent Main Earth,A,Protective Multiple Earthing,PME describes a TN-C-S supply where the combined PEN conductor is earthed at multiple points by the DNO.
9,Definitions & Terms,"In a TT earthing system, the installation's means of earthing is provided by:",The supply cable sheath,A PEN conductor from the DNO,A local earth electrode,Bonding to gas and water pipes only,C,A local earth electrode,
10,Definitions & Terms,SELV is defined as:,"A system not exceeding 50V a.c., electrically separated from earth and other systems",Any circuit protected by an RCD,A circuit with a functional earth connection,A 110V site supply,A,"A system not exceeding 50V a.c., electrically separated from earth and other systems",
11,Definitions & Terms,"""Prospective fault current"" (PFC) is:",The current that would flow for a fault of negligible impedance,The maximum current a cable can carry continuously,The rated current of the protective device,The design current of the circuit,A,The current that would flow for a fault of negligible impedance,
12,Definitions & Terms,"A ""competent person"" under BS 7671 is someone who:",Holds a City & Guilds 2382 certificate only,"Has the skill, knowledge and experience to avoid danger to themselves and others",Is employed by a DNO,Has more than 10 years' experience regardless of training,B,"Has the skill, knowledge and experience to avoid danger to themselves and others",
13,Definitions & Terms,"The term ""exposed-conductive-part"" describes:","A touchable conductive part, not normally live, that can become live under fault conditions","Any conductive part of the installation, live or not",A live conductor with damaged insulation,The earth electrode,A,"A touchable conductive part, not normally live, that can become live under fault conditions",
14,Definitions & Terms,"An ""extraneous-conductive-part"" is:",Part of the electrical installation,"A conductive part liable to introduce a potential, not forming part of the electrical installation (e.g. structural steel)",A protective conductor,A bonding conductor,B,"A conductive part liable to introduce a potential, not forming part of the electrical installation (e.g. structural steel)",
15,Definitions & Terms,"What is a ""circuit protective conductor"" (cpc)?",The conductor connecting exposed-conductive-parts to the main earthing terminal,The line conductor of a final circuit,A conductor used only for functional earthing,The neutral conductor,A,The conductor connecting exposed-conductive-parts to the main earthing terminal,
16,Definitions & Terms,RCBO is an abbreviation for:,A device combining overcurrent and residual current protection in one unit,Ring Circuit Breaker Outlet,Radial Circuit Bonding Outlet,Residual Current Bonded Outlet,A,A device combining overcurrent and residual current protection in one unit,
17,Definitions & Terms,"""Diversity"" in an electrical installation refers to:",The requirement to use different cable types on every circuit,The allowance made because not all connected loads run simultaneously at full demand,A type of earthing arrangement,The variation in supply voltage,B,The allowance made because not all connected loads run simultaneously at full demand,
18,Assessing Characteristics,Part 3 (Assessment of General Characteristics) requires the designer to consider all of the following EXCEPT:,"Purpose, supplies and structure of the installation","External influences (ambient temperature, water, etc.)",Compatibility of equipment characteristics,The exact make and model of every light fitting,D,The exact make and model of every light fitting,
19,Assessing Characteristics,"""External influences"", coded AA/AB/AC..., relate to:",The financial cost of the installation,"Environmental conditions affecting equipment selection (temperature, altitude, water, impact)",The supplier's tariff type,The manufacturer's nationality,B,"Environmental conditions affecting equipment selection (temperature, altitude, water, impact)",
20,Assessing Characteristics,"Before working on an existing installation, BS 7671 requires assessment of:",Only the consumer unit,"Supply/installation characteristics likely to affect the design, including maximum demand, earthing arrangement, and condition of equipment to be reused",Nothing — Part 3 is new-build only,The colour of existing cables only,B,"Supply/installation characteristics likely to affect the design, including maximum demand, earthing arrangement, and condition of equipment to be reused",
21,Assessing Characteristics,Maximum demand of an installation is assessed:,By adding the rated current of every appliance with no allowance,"Taking diversity into account, using recognised guidance",By reference to postcode,It is not required under Part 3,B,"Taking diversity into account, using recognised guidance",
22,Assessing Characteristics,Compatibility (Part 3) requires checking that:,All equipment is the same colour,"Equipment characteristics (starting current, harmonics, leakage) won't harmfully affect other equipment or the supply",Only British-made equipment is used,All circuits use the same device rating,B,"Equipment characteristics (starting current, harmonics, leakage) won't harmfully affect other equipment or the supply",
23,Assessing Characteristics,"Which is an example of ""AD"" (presence of water) external-influence classification?",AD4 – splashing,AC2 – altitude,AA5 – high temperature,AB1 – dry,A,AD4 – splashing,
24,Shock Protection (411),"For a TN system, the maximum disconnection time for a final circuit ≤32A is:",0.1s,0.2s,0.4s,5s,C,0.4s,
25,Shock Protection (411),"For a TT system, the maximum disconnection time for a final circuit ≤32A is:",0.2s,0.4s,1s,5s,A,0.2s,
26,Shock Protection (411),"For distribution circuits (and final circuits >32A) on a TN system, the maximum disconnection time is:",0.4s,1s,5s,No limit applies,C,5s,
27,Shock Protection (411),Additional protection by a 30mA RCD (411.3.3) is required for socket outlets ≤32A for use by ordinary persons:,Only in bathrooms,"In all locations, with only very limited listed exceptions",Only for outdoor sockets,Only in commercial premises,B,"In all locations, with only very limited listed exceptions",
28,Shock Protection (411),"In domestic premises, 30mA RCD additional protection is also specifically required for:",AC final circuits supplying luminaires (lighting),Immersion heaters only,Cooker circuits only,Nothing beyond socket outlets,A,AC final circuits supplying luminaires (lighting),Regulation 411.3.4 extended the requirement to domestic lighting circuits.
29,Shock Protection (411),Fault protection (single-fault-condition shock protection) is most commonly achieved by:,Double insulation alone,Automatic Disconnection of Supply (ADS),Warning labels on equipment,SELV only,B,Automatic Disconnection of Supply (ADS),
30,Shock Protection (411),Electrical separation (413) as a protective measure relies on:,"A single circuit from an isolating source, live parts not connected to earth or another circuit",A 30mA RCD,A TT earth electrode,PME bonding,A,"A single circuit from an isolating source, live parts not connected to earth or another circuit",
31,Shock Protection (411),SELV and PELV are protective measures classed under:,Automatic disconnection of supply,Extra-low voltage (both basic and fault protection from the low voltage itself),Electrical separation,Obstacles and placing out of reach,B,Extra-low voltage (both basic and fault protection from the low voltage itself),
32,Shock Protection (411),The nominal voltage limit for SELV/PELV under normal conditions is:,12V a.c.,50V a.c. / 120V ripple-free d.c.,110V d.c.,230V a.c.,B,50V a.c. / 120V ripple-free d.c.,
33,Shock Protection (411),"""Obstacles"" and ""placing out of reach"" as protective measures are:",Permitted for ordinary persons in all installations,Only permitted where supervised/controlled by skilled or instructed persons,Banned entirely under BS 7671,Only used in agricultural locations,B,Only permitted where supervised/controlled by skilled or instructed persons,
34,Shock Protection (411),Basic protection by insulation of live parts requires the insulation to:,Be removable with a standard tool for maintenance,"Only be removable by destruction, solvents or heat — not by hand",Be any colour so long as present,Only cover conductors above 1mm²,B,"Only be removable by destruction, solvents or heat — not by hand",
35,Shock Protection (411),A barrier providing basic protection must give at least a degree of protection of:,"IPXXB (IP2X), or IPXXD on accessible horizontal top surfaces where required",IP44 in all cases,No specific rating is required,IP65 always,A,"IPXXB (IP2X), or IPXXD on accessible horizontal top surfaces where required",
36,Shock Protection (411),Which is correct about RCDs and TT systems?,An RCD is never required on TT if Zs is low enough,"Because Ze is often too high for overcurrent devices alone, an RCD is almost always essential for fault protection",TT systems cannot use RCDs,TT systems don't require an earth electrode,B,"Because Ze is often too high for overcurrent devices alone, an RCD is almost always essential for fault protection",
37,Shock Protection (411),"To confirm automatic disconnection will occur in time on a TN system, you must check:",Only the cable colour,That Zs does not exceed the tabulated maximum for that device and disconnection time,The length of cable only,The consumer unit's diameter,B,That Zs does not exceed the tabulated maximum for that device and disconnection time,
38,Fire & Thermal (42),Arc Fault Detection Devices (AFDDs) are designed to:,Detect overload current only,"Detect arc faults that conventional overcurrent/RCD protection may miss, reducing fire risk",Replace RCDs entirely,Only function on three-phase circuits,B,"Detect arc faults that conventional overcurrent/RCD protection may miss, reducing fire risk",
39,Fire & Thermal (42),"Under Regulation 421.1.7, AFDDs are required as a minimum for certain final circuits ≤32A in premises such as:",Detached bungalows only,HMOs and similarly higher-risk residential premises listed in BS 7671,Garages only,All installations without exception,B,HMOs and similarly higher-risk residential premises listed in BS 7671,
40,Fire & Thermal (42),"Where fitted, an AFDD should be installed:",At the furthest point of the circuit from the origin,At the origin of the final circuit it protects,Only at the main switchboard,In the socket outlet itself only,B,At the origin of the final circuit it protects,
41,Fire & Thermal (42),Regulation 422 deals with:,"Precautions for locations with particular risks — fire, explosion, escape routes, high fire load",Voltage drop only,Cable colours,RCD selection,A,"Precautions for locations with particular risks — fire, explosion, escape routes, high fire load",
42,Fire & Thermal (42),"For a luminaire close to combustible material rated over 300W up to 500W, minimum spacing guidance is broadly around:",0.2m,0.5m,1.0m,2.0m,C,1.0m,"Illustrative bands: ≤100W≈0.5m, >100–300W≈0.8m, >300–500W≈1.0m — confirm current figures."
43,Fire & Thermal (42),"A ""significant quantity"" of flammable liquid, for fire-risk assessment purposes, is generally taken as:",1 litre,10 litres,25 litres,100 litres,C,25 litres,
44,Fire & Thermal (42),"Where a circuit passes through a fire-risk location (e.g. escape route), measures may include:",Ignoring the risk if PVC insulated,"Fire-resistant wiring systems, avoiding combustible surfaces, protection against mechanical damage",Only increasing cable csa,No special measures are ever needed,B,"Fire-resistant wiring systems, avoiding combustible surfaces, protection against mechanical damage",
45,Fire & Thermal (42),Thermal effects requirements (Chapter 42) primarily protect against:,Burns and fire from heat generated by equipment or faults,Voltage drop,Electromagnetic interference,Corrosion of conductors,A,Burns and fire from heat generated by equipment or faults,
46,Fire & Thermal (42),Fixed equipment likely to reach ignition temperatures should be:,Installed with no consideration required,"Positioned/guarded so adjacent materials can't reach a dangerous temperature, or mounted/enclosed to withstand it",Always mounted directly on timber,Wrapped in PVC tape,B,"Positioned/guarded so adjacent materials can't reach a dangerous temperature, or mounted/enclosed to withstand it",
47,Fire & Thermal (42),"For hand-held equipment, the maximum accessible temperature for non-metallic parts liable to be touched is around:",45°C,65°C,90°C,105°C,B,65°C,
48,Overcurrent (43),The basic rule for selecting a protective device against overload (433.1) is:,"Ib ≤ In ≤ Iz, and I2 ≤ 1.45 Iz",Ib = In = Iz always exactly,In must always exceed Iz,Ib has no relationship to Iz,A,"Ib ≤ In ≤ Iz, and I2 ≤ 1.45 Iz",
49,Overcurrent (43),"""Ib"" represents:",The rated current of the protective device,The design current of the circuit,The tabulated current-carrying capacity of the cable,The breaking capacity of the device,B,The design current of the circuit,
50,Overcurrent (43),"""Iz"" represents:",The design current,The rated current of the device,The cable's effective current-carrying capacity in its installed conditions,The prospective fault current,C,The cable's effective current-carrying capacity in its installed conditions,
51,Overcurrent (43),The adiabatic equation for a conductor's thermal withstand under fault is:,S = √(I²t) / k,S = I × t × k,S = k / (I × t),S = √(I × t) / k²,A,S = √(I²t) / k,
52,Overcurrent (43),"Using S=√(I²t)/k, for I=1000A, t=0.4s, k=115, the minimum csa is approximately:",2.75 mm²,5.5 mm²,8.7 mm²,11 mm²,B,5.5 mm²,√(1000²×0.4)=632.5; 632.5/115≈5.5mm².
